Character,Text,Episode,LineNumber
DIRECTION,"""[Episode begins in Morty’s room where he is sleeping in his bed]""",101,1
Rick,"""(stumbles in drunkenly, and turns on the lights) Morty! You gotta come on. You got--... you gotta come with me.""",101,2
Morty,"""(rubs his eyes) What, Rick? What’s going on?""",101,3
Rick,"""I got a surprise for you, Morty.""",101,4
Morty,"""It's the middle of the night. What are you talking about?""",101,5
Rick,"""(spills alcohol on Morty's bed) Come on, I got a surprise for you. (drags Morty by the ankle) Come on, hurry up. (pulls Morty out of his bed and into the hall)""",101,6
Morty,"""Ow! Ow! You're tugging me too hard!""",101,7
Rick,"""We gotta go, gotta get outta here, come on. Got a surprise for you Morty.""",101,8
DIRECTION,"""[The scene cuts to Rick's ship]""",101,9
Rick,"""(Rick drives through the night sky) What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.""",101,10
Morty,"""Yeah, Rick... I-it's great. Is this the surprise?""",101,11
Rick,"""Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.""",101,12
Morty,"""What?! A bomb?!""",101,13
Rick,"""We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.""",101,14
Morty,"""T-t-that's absolutely crazy!""",101,15
Rick,"""Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.""",101,16
Morty,"""Jessica? From my math class?""",101,17
Rick,"""(puts an arm around Morty’s shoulders) When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.""",101,18
Morty,"""Ohh...""",101,19
Rick,"""And Jessica's gonna be Eve.""",101,20
Morty,"""Whhhh-wha?""",101,21
Rick,"""And so that's the surprise, Morty.""",101,22
Morty,"""No, you can't! (shoves Rick away) Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!""",101,23
Rick,"""I-I get what you're trying to say, Morty. Listen, I'm not... (spills alcohol down his shirt) You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.""",101,24
Morty,"""What are you talking about, Rick?""",101,25
Rick,"""You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.""",101,26
Morty,"""I don't care about Jessica! Y-Yyyyyyyyyyou—""",101,27
Rick,"""You know what, Morty? You're right. (throws empty bottle into the backseat) Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. (presses a button)""",101,28
Robot Voice,"""Arming neutrino bomb.""",101,29
Morty,"""(unbuckles his seatbelt) That's it... that's it, Rick. I'm taking the wheel. (jumps up on Rick and starts fighting with him over control of the wheel)""",101,30
Rick,"""Get off of me, Morty! (they begin to talk over each other)""",101,31
Morty,"""I'm taking charge of this situation, buddy! (starts kicking Rick's face while grabbing the wheel) I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!""",101,32
Rick,"""(at the same time) Come on! What’s gotten into you? If you love Earth so much why don’t you marry it? (pushes Morty) What are you, crazy? Alright, alright, Morty. (pushes Morty off of him)""",101,33
Rick,"""Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.""",101,34
DIRECTION,"""[Cut to desert]""",101,35
Rick,"""(Rick lands the cruiser in an open desert; he opens the door and tumbles out among dozens of empty alcohol cans and bottles) We'll park it right here, Morty. Right here on the side of the ree... road here.""",101,36
Morty,"""Oh, thank god.""",101,37
Rick,"""You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.""",101,38
Morty,"""It was?""",101,39
Rick,"""Sure. Why not? I don’t, I don't know. Y-you know what, Mo— (falls asleep and begins snoring)""",101,40
Robot Voice,"""Neutrino bomb armed.""",101,41
Morty,"""Um...""",101,42
DIRECTION,"""[Cut to opening theme]""",101,43
DIRECTION,"""[Open to Smith residence, dining room]""",101,44
Jerry,"""I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer? (Morty falls asleep at the table, smashing his face into his plate)""",101,45
Summer,"""Oh my God, his head is in his food. I'm going to puke.""",101,46
Beth,"""Morty, are you getting sick? (Morty lifts his head, clearly exhausted,""",101,47
DIRECTION,"""and wipes food from his face) I told you not to practice-kiss the living room""",101,48
DIRECTION,"""pillow. The dog sleeps on it.""",101,49
Morty,"""I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.""",101,50
Summer,"""Or maybe you were out all night again with Grandpa Rick.""",101,51
Jerry,"""What?""",101,52
Beth,"""Dad?""",101,53
Rick,"""What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?""",101,54
Jerry,"""Damn it!""",101,55
Beth,"""Jerry!""",101,56
Jerry,"""Beth!""",101,57
Summer,"""Oh my god, my parents are so loud, I want to die.""",101,58
Rick,"""Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.""",101,59
Jerry,"""(glaring at Rick) Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?""",101,60
Rick,"""Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time. (Jerry stares incredulously at him) Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue. (wipes his mouth and gets up, stopping behind Beth and putting a hand on her shoulder) This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them. (Rick gives Beth a kiss and walks away)""",101,61
Beth,"""(tears up in happiness) Oh, dad…""",101,62
Jerry,"""What? For real? (Morty's face slams into his plate again)""",101,63
DIRECTION,"""[Cut to Ext. Harry Herpson High School]""",101,64
Mr. Goldenfold,"""Alright, now, everybody get settled. Get away from the windows!""",101,65
DIRECTION,"""[Cut to Int. Mr. Goldenfold’s class]""",101,66
Mr. Goldenfold,"""Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.""",101,67
All classmates except Morty,"""Four. (Morty, sitting in the back row, stares at Jessica, who sits in the front row, answering Jessica’s name for the questions)""",101,68
Morty,"""Jessica.""",101,69
Mr. Goldenfold,"""Five plus five.""",101,70
All classmates except Morty,"""Ten.""",101,71
Morty,"""Jessica. (Jessica hears Morty and looks back, confused, not sure who’s saying her name)""",101,72
Mr. Goldenfold,"""Okay, good. It's time for the quiz.""",101,73
Class,"""Awwwwww.""",101,74
Mr. Goldenfold,"""Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room. (Morty stares at the quiz; the numbers on the quiz jumble together as Morty falls asleep) There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3:00. (Morty falls into a dream world filled with large number-shaped blocks; Jessica steps out from behind some of the numbers)""",101,75
Jessica,"""Hi, Morty.""",101,76
Morty,"""Whoa! Hi, Jessica.""",101,77
Jessica,"""Can I show these to you? (Jessica opens her shirt, showing Morty her breasts)""",101,78
Morty,"""Wow. Th-they're both great. Thank you!""",101,79
Jessica,"""You know what I named these? My little Morties.""",101,80
Morty,"""(rubs the back of his neck) Uh, that's flattering... and a little weird.""",101,81
Jessica,"""Do you know what I want you to do with them?""",101,82
Morty,"""Rename them?""",101,83
Jessica,"""Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers.""",101,84
Morty,"""Wow. Well, okay, Jessica. L-let's give this a shot. (Morty grabs her breasts and starts fondling her)""",101,85
Jessica,"""Mm. Oh, Morty. What are you doing to me?""",101,86
Morty,"""Uh, I-I'm just doing my best. (in real life, class has ended and Morty is fondling Mr. Goldenfold)""",101,87
Mr. Goldenfold,"""Morty! What are you doing to me?!""",101,88
Morty,"""(sleep-talking) Ah, Jessica.""",101,89
Mr. Goldenfold,"""Morty!""",101,90
Morty,"""Jessica.""",101,91
Mr. Goldenfold,"""Five more minutes of this, and I'm gonna get mad. (leans back and bites his lip)""",101,92
Morty,"""Je-Jessica. Jessica.""",101,93
Mr. Goldenfold,"""Not my fault this is happening.""",101,94
DIRECTION,"""[Cut to hallway]""",101,95
Frank,"""(Morty is at his locker, where he is confronted by a bully, Frank Palicky) Well, well, well.""",101,96
Morty,"""Uh, morning, Frank.""",101,97
Frank,"""(pins Morty to his locker) ""Morning""? What was what is that supposed to mean? You making fun of me? Are you trying to say my family's poor? (takes out a pocket knife and points it at Morty's neck)""",101,98
